path,function,time,blocks,matrix
./data/kernels/14324/1/main.cu,sum,15.801,"(1, 128)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.161,"(1, 192)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.611,"(1, 256)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.291,"(1, 320)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,17.952,"(1, 384)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.551,"(1, 448)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.401,"(1, 512)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.461,"(1, 576)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,17.641,"(1, 640)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.601,"(1, 704)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.521,"(1, 768)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.551,"(1, 832)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.741,"(1, 896)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.771,"(1, 960)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,15.151,"(1, 1024)","(496, 496)"
./data/kernels/14324/1/main.cu,sum,16.531,"(8, 8)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.471,"(16, 16)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.671,"(24, 24)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.611,"(32, 32)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,17.622,"(1, 64)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.311,"(1, 128)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,16.701,"(1, 192)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,16.621,"(1, 256)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.681,"(1, 320)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.601,"(1, 384)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.261,"(1, 448)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,16.761,"(1, 512)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.301,"(1, 576)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,17.781,"(1, 640)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,17.161,"(1, 704)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,18.271,"(1, 768)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.221,"(1, 832)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.531,"(1, 896)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,18.001,"(1, 960)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,17.171,"(1, 1024)","(784, 784)"
./data/kernels/14324/1/main.cu,sum,15.291,"(8, 8)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,15.661,"(16, 16)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,15.361,"(24, 24)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,16.001,"(32, 32)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,15.501,"(1, 64)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,15.761,"(1, 128)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,17.452,"(1, 192)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,15.861,"(1, 256)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,17.852,"(1, 320)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,15.771,"(1, 384)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,17.981,"(1, 448)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,17.081,"(1, 512)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,15.941,"(1, 576)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,18.641,"(1, 640)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,17.541,"(1, 704)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,18.892,"(1, 768)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,16.781,"(1, 832)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,17.431,"(1, 896)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,16.111,"(1, 960)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,15.731,"(1, 1024)","(1016, 1016)"
./data/kernels/14324/1/main.cu,sum,16.892,"(8, 8)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,16.261,"(16, 16)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,17.971,"(24, 24)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,15.381,"(32, 32)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,16.072,"(1, 64)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,16.781,"(1, 128)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,16.771,"(1, 192)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,18.491,"(1, 256)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,16.241,"(1, 320)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,15.801,"(1, 384)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,16.281,"(1, 448)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,16.851,"(1, 512)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,17.001,"(1, 576)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,16.181,"(1, 640)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,15.331,"(1, 704)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,15.831,"(1, 768)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,17.431,"(1, 832)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,15.541,"(1, 896)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,15.581,"(1, 960)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,16.241,"(1, 1024)","(1232, 1232)"
./data/kernels/14324/1/main.cu,sum,15.992,"(8, 8)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.371,"(16, 16)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.011,"(24, 24)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.911,"(32, 32)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,15.661,"(1, 64)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.671,"(1, 128)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,17.271,"(1, 192)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,15.581,"(1, 256)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.701,"(1, 320)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,15.551,"(1, 384)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,15.921,"(1, 448)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.621,"(1, 512)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,15.571,"(1, 576)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,15.582,"(1, 640)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.121,"(1, 704)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,15.771,"(1, 768)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,15.351,"(1, 832)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.911,"(1, 896)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,15.631,"(1, 960)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.431,"(1, 1024)","(1680, 1680)"
./data/kernels/14324/1/main.cu,sum,16.141,"(8, 8)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,15.811,"(16, 16)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,15.471,"(24, 24)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.842,"(32, 32)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.261,"(1, 64)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.081,"(1, 128)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.262,"(1, 192)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.301,"(1, 256)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,17.071,"(1, 320)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.781,"(1, 384)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.061,"(1, 448)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.731,"(1, 512)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.671,"(1, 576)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,15.911,"(1, 640)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.131,"(1, 704)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.021,"(1, 768)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.241,"(1, 832)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.901,"(1, 896)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,15.731,"(1, 960)","(2024, 2024)"
./data/kernels/14324/1/main.cu,sum,16.211,"(1, 1024)","(2024, 2024)"
./data/kernels/14324/2/main.cu,block_sum,14.501,"(8, 8)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,20.512,"(16, 16)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,13.961,"(24, 24)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,14.011,"(32, 32)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,13.971,"(1, 64)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,14.771,"(1, 128)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,14.031,"(1, 192)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,14.071,"(1, 256)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,14.051,"(1, 320)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,13.971,"(1, 384)","(240, 240)"
./data/kernels/14324/2/main.cu,block_sum,14.721,"(1, 448)","(240, 240)"
