path,function,time,blocks,matrix
./data/kernels/36/0/main.cu,kLogregCost,19.17,"(1, 512)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.79,"(1, 576)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.83,"(1, 640)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.32,"(1, 704)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,19.42,"(1, 768)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.86,"(1, 832)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.59,"(1, 896)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,19.07,"(1, 960)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,17.97,"(1, 1024)","(1680, 1680)"
./data/kernels/36/0/main.cu,kLogregCost,18.64,"(8, 8)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.33,"(16, 16)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,17.92,"(24, 24)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.59,"(32, 32)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.25,"(1, 64)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,19.07,"(1, 128)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.92,"(1, 192)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.75,"(1, 256)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,19.03,"(1, 320)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,20.04,"(1, 384)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.63,"(1, 448)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.19,"(1, 512)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.46,"(1, 576)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,19.21,"(1, 640)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,19.3,"(1, 704)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,19.03,"(1, 768)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.87,"(1, 832)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.89,"(1, 896)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.2,"(1, 960)","(2024, 2024)"
./data/kernels/36/0/main.cu,kLogregCost,18.02,"(1, 1024)","(2024, 2024)"
./data/kernels/36/35/main.cu,kTile,16.77,"(8, 8)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.4,"(16, 16)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.45,"(24, 24)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.5,"(32, 32)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.42,"(1, 64)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.85,"(1, 128)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,14.97,"(1, 192)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.12,"(1, 256)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.05,"(1, 320)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.02,"(1, 384)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.45,"(1, 448)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.561,"(1, 512)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.62,"(1, 576)","(240, 240)"
./data/kernels/36/35/main.cu,kTile,15.82,"(1, 640)","(240, 240)"
