path,function,time,blocks,matrix
./data/kernels/16910/21/main.cu,average_snips,26.09,"(1, 768)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.57,"(1, 832)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.9,"(1, 896)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,25.78,"(1, 960)","(2024, 2024)"
./data/kernels/16910/21/main.cu,average_snips,26.45,"(1, 1024)","(2024, 2024)"
./data/kernels/16910/22/main.cu,computePCfeatures,22.731,"(8, 8)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,22.16,"(16, 16)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,22.12,"(24, 24)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,22.21,"(32, 32)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,22.77,"(1, 64)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.11,"(1, 128)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,22.43,"(1, 192)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.27,"(1, 256)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.42,"(1, 320)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.31,"(1, 384)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.03,"(1, 448)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,22.74,"(1, 512)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,22.73,"(1, 576)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.66,"(1, 640)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.05,"(1, 704)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.28,"(1, 768)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.42,"(1, 832)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.22,"(1, 896)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.01,"(1, 960)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.12,"(1, 1024)","(240, 240)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.63,"(8, 8)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.411,"(16, 16)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.29,"(24, 24)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.35,"(32, 32)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.73,"(1, 64)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.12,"(1, 128)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.56,"(1, 192)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.81,"(1, 256)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.23,"(1, 320)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.68,"(1, 384)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.31,"(1, 448)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.71,"(1, 512)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.17,"(1, 576)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.62,"(1, 640)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,23.83,"(1, 704)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.03,"(1, 768)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.02,"(1, 832)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.6,"(1, 896)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.34,"(1, 960)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.22,"(1, 1024)","(496, 496)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.3,"(8, 8)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.561,"(16, 16)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.53,"(24, 24)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.44,"(32, 32)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.141,"(1, 64)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.91,"(1, 128)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.99,"(1, 192)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.94,"(1, 256)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.11,"(1, 320)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.3,"(1, 384)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.81,"(1, 448)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.241,"(1, 512)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.79,"(1, 576)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.71,"(1, 640)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,26.57,"(1, 704)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.8,"(1, 768)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.66,"(1, 832)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.571,"(1, 896)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.35,"(1, 960)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.53,"(1, 1024)","(784, 784)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.97,"(8, 8)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.401,"(16, 16)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.39,"(24, 24)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.99,"(32, 32)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.32,"(1, 64)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,32.12,"(1, 128)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.48,"(1, 192)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.44,"(1, 256)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.79,"(1, 320)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.98,"(1, 384)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.05,"(1, 448)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.51,"(1, 512)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.34,"(1, 576)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,24.68,"(1, 640)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.78,"(1, 704)","(1016, 1016)"
./data/kernels/16910/22/main.cu,computePCfeatures,25.54,"(1, 768)","(1016, 1016)"
